scorer,Unnamed: 1,Unnamed: 2,sebastien,sebastien.1,sebastien.2,sebastien.3,sebastien.4,sebastien.5,sebastien.6,sebastien.7,sebastien.8,sebastien.9,sebastien.10,sebastien.11,sebastien.12,sebastien.13,sebastien.14,sebastien.15,sebastien.16,sebastien.17
labeled-data,video-youtube-4_train_eval,video-youtube-4_train_eval_296.png,649.8185280701114,435.9748280932558,614.7233589935279,403.0869023548222,595.0788932839937,383.44243664528807,722.4453164052638,460.11300135827696,723.7412732478099,430.1881797213044,,,740.4375576505855,433.9383408917252,726.0589382118694,413.75017824544705,714.1493746363672,400.67870602843243
labeled-data,video-youtube-4_train_eval,video-youtube-4_train_eval_297.png,609.3884152015313,302.9208955853808,609.1676908677164,345.29996767785894,,,708.4936410844621,380.8365854220723,683.7725156971832,370.2418173989527,668.9988320548856,363.3248200864538,730.1444321713769,373.2212177931691,686.7887850752907,361.6754204686679,657.3352204719712,354.8421934806978
labeled-data,video-youtube-4_train_eval,video-youtube-4_train_eval_298.png,748.3827293014139,353.0523629845984,693.417794132511,359.0386430524987,663.7584974324594,362.8480940047989,723.3491944720125,372.91592866444944,693.689897771961,366.6575449570991,,,750.831662056464,390.87476886815034,,,661.5816683168593,343.52873560384785
labeled-data,video-youtube-4_train_eval,video-youtube-4_train_eval_299.png,767.6856042938681,317.2164023306864,705.6286909626717,348.4125803836662,662.09124158416,369.1011123392934,768.6239748147403,345.466959757047,709.5385933591243,355.8516631643977,,,777.397258727847,349.2269385769498,,,656.0036568281267,355.314523332983
labeled-data,video-youtube-4_train_eval,video-youtube-4_train_eval_300.png,676.6987085929228,270.5853921703137,654.4969288944488,338.62310414950787,637.8455941205935,385.5333160930575,700.3328611751692,280.61200235672123,682.6072467384844,337.72787109715006,672.5806365520768,372.82100674957655,728.2641324087332,304.4252015494392,691.9322288471319,339.8771364435167,661.4797467028399,365.1220024992993
labeled-data,video-youtube-4_train_eval,video-youtube-4_train_eval_301.png,612.6813360163723,259.34200533242955,612.6813360163723,336.61943893623356,613.4976469347223,391.3122704656864,781.1134888359311,497.16058621174193,735.6721810477787,436.4814746143888,702.475537034877,392.40068502348646,766.6919959450803,516.7520482521429,731.8627300954785,450.63086386578954,707.3734025449772,406.2779706354372
labeled-data,video-youtube-4_train_eval,video-youtube-4_train_eval_302.png,712.2604948461903,252.25372274368743,695.7194649045214,329.5830377209895,682.900166699728,384.16843652849695,605.1573764531015,385.40901377412206,597.3003872308088,310.5608532880703,588.2028207628908,243.15615627576955,805.7173140166195,508.6396742197511,768.4999966478645,447.0243376870344,739.5531942499439,402.7770825930701
labeled-data,video-youtube-4_train_eval,video-youtube-4_train_eval_303.png,538.8053254918672,276.0803980618987,581.7420006615598,302.24493449343015,,,530.0838133480233,268.36521424234456,,,620.988805308857,339.479082492148,641.1153717946504,258.9728063120732,667.615351000945,185.84628141369046,687.4064747119752,135.5298651992069
labeled-data,video-youtube-4_train_eval,video-youtube-4_train_eval_304.png,885.3444577422031,244.89373413321192,846.3580424541735,286.91369049202297,806.1532734666796,334.75829258684166,852.9468322354576,374.2679618116691,783.1979427499206,373.1643401425942,729.1204809652479,373.3850644764092,845.0007562181179,419.2957259099272,794.8963324421151,384.6420055009737,751.634363014377,348.6639390891303
labeled-data,video-youtube-4_train_eval,video-youtube-4_train_eval_305.png,557.9253945119493,264.84318559535575,595.2036263323776,311.37290794130826,622.1418866379289,348.9232101854102,524.7287504990476,289.3325131458571,555.4764949726754,338.0390646074096,578.3332006864766,372.5962268175614,485.54582641824555,216.40874607719735,445.8186950585435,154.91332356149417,415.6151910795919,111.9209485283919
labeled-data,video-youtube-4_train_eval,video-youtube-4_train_eval_306.png,607.4003018606209,318.03115728806574,579.2231087805101,296.5628197032194,562.7864128171121,282.8096659379272,774.0779888262648,193.3655254755273,720.7456754940621,240.9836623792798,678.2975077398598,272.81978819493145,563.1651916953325,306.43785855284307,,,,
labeled-data,video-youtube-4_train_eval,video-youtube-4_train_eval_307.png,394.38486263654636,169.93049157662188,462.9549797779499,159.0463459986213,512.7499457973025,152.51585865182096,937.5443830889659,256.55244479142243,873.0558205393125,282.4022905391738,821.3561290438099,302.81006349792483,,,,,823.2608545199599,315.8710381915255
labeled-data,video-youtube-4_train_eval,video-youtube-4_train_eval_308.png,559.1828188970635,246.07907110359548,508.53095990781674,280.9651196789707,470.6259263595725,307.80054166002867,564.5499032932751,274.25626418370626,512.2208304302122,288.0094179489985,466.6006130624138,296.39548731807906,111.22309999972396,308.26986662838704,152.5756748538962,355.4118019621436,183.59010599452537,394.6967480736074
labeled-data,video-youtube-4_train_eval,video-youtube-4_train_eval_309.png,503.28872475724154,402.72382440387645,458.3393929389696,375.88840242281856,,,520.0608634954026,388.29978508905776,,,,,164.49153248328665,259.82520235474317,181.93455677097427,329.59729950549365,197.36492441008255,377.9010590713979
labeled-data,video-youtube-4_train_eval,video-youtube-4_train_eval_310.png,219.4639414852201,332.4852373390478,209.66821046501957,394.2527634942011,203.40982675766924,415.20474373185215,482.2293240627928,481.2011690961905,435.72401592467656,438.46656161792146,396.76010910625484,402.01645523939794,,,,,,
labeled-data,video-youtube-4_train_eval,video-youtube-4_train_eval_311.png,149.95510498585668,303.4323444590181,195.12430913455904,353.7715177572707,228.32095314746078,394.8591673142229,139.34306304730615,326.2890501728193,191.85906546115888,362.47883421967117,231.85830046031097,390.77761272247267,,,168.24099602695202,441.66566011619545,176.67620884990245,431.5978254565449
